,Date,Symbol,Open,Close,Low,High,Volume
88064,2010-09-30,GOOGL,529.160014,525.790036,518.92002,531.870009,6481700
88533,2010-10-01,GOOGL,529.999994,525.619979,522.999982,530.619979,4445500
89002,2010-10-04,GOOGL,524.949995,522.349998,518.850022,528.250037,3877100
89471,2010-10-05,GOOGL,528.380033,538.230037,526.550017,539.999994,7007100
89940,2010-10-06,GOOGL,539.260012,534.35001,529.939995,539.949995,5519000
90409,2010-10-07,GOOGL,536.210025,530.009994,529.140015,537.200001,4786800
90878,2010-10-08,GOOGL,532.769987,536.350022,527.619991,537.599991,5712600
91347,2010-10-11,GOOGL,538.480031,538.840022,537.170002,544.600003,5247300
91816,2010-10-12,GOOGL,540.119991,541.390021,537.789987,545.990031,7499600
92285,2010-10-13,GOOGL,547.000006,543.300035,542.329998,547.489994,6105000
92754,2010-10-14,GOOGL,544.180014,540.930032,537.110003,545.249988,13254900
93223,2010-10-15,GOOGL,599.270011,601.450019,591.600015,601.640014,29619900
93692,2010-10-18,GOOGL,600.54998,617.709988,600.54998,619.69,14182200
94161,2010-10-19,GOOGL,608.850021,607.829985,602.859984,614.819997,9166600
94630,2010-10-20,GOOGL,608.139977,607.979981,607.499993,617.379996,7043100
95099,2010-10-21,GOOGL,611.510017,611.990005,606.00003,616.000029,5835100
95568,2010-10-22,GOOGL,611.920007,612.529992,610.049992,614.819997,4507600
96037,2010-10-25,GOOGL,615.589979,616.500017,614.969994,624.739999,6310400
96506,2010-10-26,GOOGL,613.099978,618.600027,611.030029,621.230024,5020700
96975,2010-10-27,GOOGL,615.770035,616.470018,612.329997,619.999993,4479300
97444,2010-10-28,GOOGL,620.049992,618.580028,613.300034,621.000029,4364200
97913,2010-10-29,GOOGL,617.070003,613.700025,612.989981,619.000017,4552000
98382,2010-11-01,GOOGL,615.730036,614.999993,611.210024,620.660038,6168000
98851,2010-11-02,GOOGL,618.670025,615.599978,614.580003,619.999993,3991200
99320,2010-11-03,GOOGL,617.499993,620.179988,613.50003,621.830009,6754200
99789,2010-11-04,GOOGL,624.640002,624.270011,622.100003,629.919995,7134400
100258,2010-11-05,GOOGL,623.180037,625.079991,621.110027,625.489981,3527800
100727,2010-11-08,GOOGL,624.020017,626.770011,623.130038,629.490005,4198300
101196,2010-11-09,GOOGL,629.999993,624.819997,620.50998,630.850033,4469900
101665,2010-11-10,GOOGL,622.080003,622.879984,617.509993,622.999981,4989000
102134,2010-11-11,GOOGL,619.7,617.19,614.210012,619.849997,4518600
102603,2010-11-12,GOOGL,613.990018,603.290035,601.210025,616.900008,6779200
103072,2010-11-15,GOOGL,603.079979,595.469982,594.050016,604.000017,6950800
103541,2010-11-16,GOOGL,592.759987,583.720024,583.450031,597.889984,6608100
104010,2010-11-17,GOOGL,584.999993,583.550029,581.370021,589.500005,4880100
104480,2010-11-18,GOOGL,589.000018,596.560016,588.560028,599.979994,5174800
104950,2010-11-19,GOOGL,597.000005,590.830034,590.339985,597.889984,4590400
105420,2010-11-22,GOOGL,587.469994,591.220024,582.749987,593.440031,4368800
105890,2010-11-23,GOOGL,587.010005,583.009981,578.200037,589.010017,4320800
