Date,Open,High,Low,Close,Adj Close,Volume
2015-04-10,50.110001,50.590000,49.970001,50.580002,48.244579,668400
2015-04-13,50.470001,50.669998,50.270000,50.320000,47.996590,744100
2015-04-14,50.220001,50.290001,49.580002,49.709999,47.414753,1230900
2015-04-15,49.700001,49.930000,49.299999,49.509998,47.223984,1010200
2015-04-16,49.430000,49.889999,49.169998,49.799999,47.500591,777200
2015-04-17,49.580002,49.720001,48.459999,48.680000,46.432312,1591300
2015-04-20,48.680000,48.939999,48.279999,48.340000,46.108009,1427000
2015-04-21,48.380001,48.970001,48.340000,48.720001,46.470463,1742800
2015-04-22,48.750000,49.230000,48.639999,48.840000,46.584923,2193000
2015-04-23,48.720001,50.080002,48.639999,49.759998,47.462444,1417000
2015-04-24,49.349998,49.840000,48.250000,48.570000,46.327389,2038000
2015-04-27,48.630001,48.759998,48.110001,48.259998,46.031700,1421100
2015-04-28,48.290001,49.439999,48.139999,49.320000,47.042759,989500
2015-04-29,49.340000,49.750000,48.770000,48.959999,46.699379,1024200
2015-04-30,48.889999,49.250000,48.459999,48.630001,46.384621,647300
2015-05-01,48.840000,49.169998,48.619999,49.049999,46.785225,640500
2015-05-04,49.220001,49.709999,49.119999,49.619999,47.328907,712500
2015-05-05,49.540001,49.930000,49.209999,49.430000,47.147682,1027800
2015-05-06,49.430000,49.990002,48.740002,48.970001,46.708920,1056300
2015-05-07,48.930000,49.919998,48.910000,49.889999,47.586437,751100
2015-05-08,50.279999,50.790001,50.209999,50.549999,48.215969,995400
2015-05-11,50.630001,51.160000,50.389999,50.810001,48.463963,951100
2015-05-12,50.660000,50.869999,50.279999,50.500000,48.168278,770900
2015-05-13,50.490002,50.930000,50.299999,50.750000,48.406731,572800
2015-05-14,51.080002,51.480000,50.830002,51.450001,49.074409,541900
2015-05-15,51.619999,51.770000,51.099998,51.189999,48.826416,807600
2015-05-18,51.230000,51.840000,51.200001,51.779999,49.389172,552500
2015-05-19,52.380001,52.419998,52.000000,52.270000,49.856548,840900
2015-05-20,52.200001,52.230000,51.630001,51.830002,49.436867,770600
2015-05-21,51.720001,52.410000,51.650002,52.270000,49.856548,822100
